lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.5,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.89,0.221,4.51,77.47,116.35,0.0243,0.7292,0.0882
0.5,10,PTO-MVO,PTO-MVO (LB=252),7.46,0.5002,2.57,35.97,39.13,0.2074,0.1859,0.0803
0.5,10,PTO-MVO,PTO-MVO (LB=504),5.78,0.4031,2.63,37.24,40.52,0.1551,0.185,0.0544
0.5,10,DFL-MVO,DFL-MVO (LB=252),9.19,0.5409,2.83,33.96,39.06,0.2706,1.0,0.4731
0.5,10,DFL-MVO,DFL-MVO (LB=504),10.62,0.5675,3.22,42.38,46.84,0.2505,1.0,0.5161
0.5,10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.0327
0.5,10,Benchmark,GMV (LB=252),7.81,0.5214,2.56,34.82,37.84,0.2244,0.1792,0.0797
0.5,10,Benchmark,hist-MVO (LB=252),11.14,0.6638,2.77,33.64,36.72,0.3311,0.2261,0.2701
0.5,10,Benchmark,GMV (LB=504),6.34,0.4353,2.61,36.15,39.31,0.1755,0.1838,0.0531
0.5,10,Benchmark,hist-MVO (LB=504),7.54,0.4839,2.76,33.62,36.46,0.2241,0.1979,0.1495
